lr,aiteration,loss,test
0.2097892495181919,0,0.095,0.1008
6.27619407983978e-05,0,0.4688,0.4736
0.0013772121706773215,0,0.6814,0.6774
lr,aiteration,loss,test
0.013922474626515342,0,0.1104,0.12
6.380721708529746e-05,0,0.498,0.472
0.0006213585536679823,0,0.8012,0.7984
lr,aiteration,loss,test
0.0130989313498684,0,0.1804,0.1908
0.0006834461559462315,0,0.729,0.731
0.0001080701674427442,0,0.5986,0.6036
lr,aiteration,loss,test
0.0033046299615621284,0,0.376,0.3638
0.07010476211908705,0,0.1444,0.1566
0.19195499469101607,0,0.102,0.1026
lr,aiteration,loss,test
0.0013279965617098476,0,0.7336,0.7346
0.027312222896511987,0,0.142,0.1394
0.09606941566648086,0,0.0676,0.064
0.0012127732469043243,0,0.7588,0.7544
0.0012127732469043243,1,0.7852,0.787
0.0011175110215781417,1,0.7744,0.7778
0.0005980826013346507,1,0.7962,0.7942
0.0007140548914150489,1,0.801,0.8
0.0007140548914150489,2,0.7814,0.7824
0.0005277679977684066,2,0.7912,0.7926
0.0001587579054904702,2,0.8194,0.8224
4.540293967615231e-05,2,0.8216,0.8212
4.540293967615231e-05,3,0.8242,0.824
6.302190958253504e-05,3,0.8272,0.8268
5.0869354249522474e-05,3,0.825,0.8214
4.540743507011528e-05,3,0.8252,0.8218
6.302190958253504e-05,4,0.83,0.8272
7.20149891313972e-05,4,0.8264,0.8278
4.879453530684503e-05,4,0.833,0.8252
4.596697366327776e-05,4,0.8282,0.8262
4.879453530684503e-05,5,0.8312,0.8254
5.5262135792100004e-05,5,0.8318,0.8268
5.836198569753137e-05,5,0.8274,0.8246
7.854939507238096e-05,5,0.8274,0.8282
4.9644565935940365e-05,5,0.832,0.827
4.542617699386107e-05,5,0.8338,0.8278
4.5777189917500365e-05,5,0.8308,0.8292
0.00011853371500781965,5,0.8308,0.8268
4.542617699386107e-05,6,0.8306,0.829
0.00013293833840507922,6,0.8292,0.8312
5.078944000611253e-05,6,0.8338,0.828
4.5767032687103096e-05,6,0.8336,0.8282
5.078944000611253e-05,7,0.8334,0.828
0.00016454669078441638,7,0.8268,0.8262
4.542195789010012e-05,7,0.833,0.8292
4.757005684255484e-05,7,0.834,0.8308
4.757005684255484e-05,8,0.8328,0.8326
0.00010333871285981808,8,0.832,0.8286
6.035602148152702e-05,8,0.831,0.8292
4.558814029189264e-05,8,0.8334,0.83
lr,aiteration,loss,test
0.3490461014943552,0,0.098,0.1018
0.001776420777956349,0,0.5052,0.5028
0.00011956722439171059,0,0.57,0.5768
5.884221219860916e-05,0,0.4454,0.4396
lr,aiteration,loss,test
0.01742460316792161,0,0.1634,0.164
1.4769896301698238e-07,0,0.0202,0.017
1.955901342886938e-10,0,0.0528,0.048
0.025072095070777747,0,0.1118,0.1014
lr,aiteration,loss,test
2.3964488266609254e-07,0,0.0526,0.0492
2.3804825165501884e-05,0,0.2762,0.283
0.3424981212862229,0,0.0916,0.1024
2.3809908908096178e-05,0,0.2982,0.2984
2.3809908908096178e-05,1,0.4334,0.4258
1.4238016012766728e-10,1,0.3216,0.3236
1.0557033380642219e-10,1,0.3224,0.3234
0.0022939767218986312,1,0.6116,0.599
