acc_test,acc_val,aiteration,drp,eps,loss_test,loss_val,lr,momentum,time,train_acc,train_los,weight_decay
10.22,9.74,0,0.11716987183591009,0.0006162880932633439,2.361875877380371,2.3670836973190306,4.1430763156123895e-06,0.8925394997658819,102.01642894744873,8.916,2.414155412197113,0.003332008290870815
11.86,11.94,0,0.1255238780481098,0.0004825988393264865,2.3232608079910277,2.323143148422241,3.5359078535432136e-06,0.863787480972841,200.16431951522827,10.846,2.3868455381393434,0.005319380319078477
9.24,9.54,0,0.14567031615577714,0.00010788589940348626,2.3328359174728392,2.33609845161438,1.22761070335678e-06,0.7421922073149303,298.22288274765015,10.072,2.377706171989441,0.005676017299326517
58.38,57.5,0,0.06313642936121953,0.009174152793374267,1.1556947219371796,1.1512559831142426,0.08411220101371471,0.9890714507016993,396.2923517227173,43.504,1.5359502148628235,0.00010136548099469855
81.48,74.264,1,0.06313642936179495,0.009174152790827372,0.5494205594062805,0.7289239096641541,0.08411220100952567,0.9890714506264375,860.8013846874237,71.55519999999999,0.8074274642348291,0.0001013654817575175
,61.98,1,0.05917356148101978,0.00894195524134877,,1.1568159210681914,0.3152783237762096,0.9778357263189336,953.1358501911163,57.44,1.2095009661912919,0.0001262309766624408
68.1,66.28399999999999,1,0.08775107753401702,0.002734357744799137,0.8979129815101623,0.930357530593872,0.003394820253805641,0.6679345826810197,1417.178944349289,61.04200000000001,1.0831322549104692,0.0004393131028229475
,62.12,1,0.0828161562185392,0.0027788476730016337,,1.0388706672191619,0.0003016297991058854,0.963328387571394,1509.5209426879883,56.218,1.2068755980730057,0.00047949149768835577
86.28,82.93999999999998,2,0.06313642936195489,0.009174152872498918,0.40856305599212644,0.4951333038806915,0.08411220100539347,0.9890714506279613,1973.416732788086,82.90720000000002,0.4937819062590599,0.00010136555725939659
84.8,83.828,2,0.10537380375001149,0.00013519688320897354,0.4562983614206314,0.46766722226142887,0.0010421383343601157,0.6981599913837735,2437.5841376781464,82.1072,0.5202717043280602,0.0013170289463143648
84.5,83.31199999999998,2,0.11050579859171022,0.00010844756745202772,0.46479647934436796,0.482177813410759,0.0004997914246753878,0.6789704858494148,2901.4277369976044,81.6568,0.5320840625524521,0.0018088796952409865
,81.3,2,0.1447688211720972,0.0002396306428290116,,0.541154823899269,1.8370197809458008e-05,0.9295462737077148,2993.8424248695374,79.804,0.5819430174231529,0.0012991941225030665
85.28,84.524,3,0.10537380374537882,0.0001351968878936162,0.44784886002540586,0.4510821006298065,0.0010421383395400536,0.6981599913831722,3458.030173301697,83.00280000000001,0.49528383668661113,0.0013170289531484025
,84.14,3,0.12951236876583294,0.0017148415547601685,,0.4577718818187714,4.56369806546589e-05,0.8402043484721936,3550.387475967407,82.57,0.503326631128788,0.0003282563092659612
86.1,85.176,3,0.08926911130832137,0.0002467270085814396,0.42239996016025544,0.4336600921750069,0.008480291525520463,0.9862360208824276,4014.2518196105957,83.6784,0.4767128087341785,0.0029968407126438686
85.98,85.03999999999999,3,0.08260947589671204,0.00029992923047089854,0.4186867094039917,0.4327485296726227,0.00947342717512994,0.9897842855210754,4478.248492479324,83.62079999999999,0.4753052044272422,0.0027232244773598524
,,0,0.06313642936121953,0.009174152793374267,,,0.08411220101371471,0.9890714507016993,,,,0.00010136548099469855
,,1,0.06313642936179495,0.009174152790827372,,,0.08411220100952567,0.9890714506264375,,,,0.0001013654817575175
,,2,0.10537380375001149,0.00013519688320897354,,,0.0010421383343601157,0.6981599913837735,,,,0.0013170289463143648
,,3,0.08260947589671204,0.00029992923047089854,,,0.00947342717512994,0.9897842855210754,,,,0.0027232244773598524
