b1,b2,droupout_prob,itération,lr,weight_decay,aiteration,net,dataset,loss,test
0.09735757857561111,0.005938391201198101,0.40699636936187744,0,0.5778061747550964,0.8603267073631287,0,LeNet,FMNIST,0.0984,0.0924
0.0019023045897483826,0.004183298442512751,0.9642030596733093,0,0.24002788960933685,0.21504966914653778,0,LeNet,FMNIST,0.1002,0.1032
0.03911693021655083,0.009082653559744358,0.21055303514003754,0,0.3034263849258423,0.3334413766860962,0,LeNet,FMNIST,0.292,0.2782
0.0619024857878685,0.0008448315784335136,0.6679710745811462,0,0.8875714540481567,0.7438857555389404,0,LeNet,FMNIST,0.039,0.0384
0.03911693021655083,0.009082653559744358,0.21055303514003754,0,0.3034263849258423,0.3334413766860962,1,LeNet,FMNIST,0.091,0.0988
0.08094749599695206,0.00624344777315855,0.2898169457912445,1,0.8721367120742798,0.7558343410491943,1,LeNet,FMNIST,0.1102,0.1084
0.0019023045897483826,0.004183298442512751,0.9642030596733093,0,0.24002788960933685,0.21504966914653778,1,LeNet,FMNIST,0.1042,0.0958
0.09359452873468399,0.00980827584862709,0.7475451827049255,1,0.717738151550293,0.8443920612335205,1,LeNet,FMNIST,0.1044,0.0962
0.0023856833577156067,0.003058922477066517,0.49155810475349426,1,0.2306860089302063,0.8435431718826294,1,LeNet,FMNIST,0.0666,0.068
9.999999747378752e-05,9.999999747378752e-06,0.45061895204671754,1,0.73862731620481,0.7558343410491943,1,LeNet,FMNIST,0.051,0.0548
0.08094749599695206,0.00624344777315855,0.2898169457912445,1,0.8721367120742798,0.7558343410491943,2,LeNet,FMNIST,0.1278,0.1238
0.08262474834918976,0.007812781259417534,0.9946615695953369,2,0.5720741748809814,0.5478307604789734,2,LeNet,FMNIST,0.1022,0.0978
0.039122454822063446,0.008690905757248402,0.2848353087902069,1,0.141506627202034,0.47485825419425964,1,LeNet,FMNIST,0.111,0.1242
0.09867202490568161,0.008500992320477962,0.31537896394729614,1,0.3180212080478668,0.09435189515352249,1,LeNet,FMNIST,0.4234,0.4248
0.08094749599695206,0.00624344777315855,0.2898169457912445,1,0.8721367120742798,0.7558343410491943,3,LeNet,FMNIST,0.0952,0.1048
0.0928986519575119,0.0060038999654352665,0.06154265254735947,3,0.7643132209777832,0.20318560302257538,3,LeNet,FMNIST,0.1036,0.0964
0.09867202490568161,0.008500992320477962,0.31537896394729614,1,0.3180212080478668,0.09435189515352249,2,LeNet,FMNIST,0.0946,0.1054
0.08770039677619934,0.007668433245271444,0.2346065789461136,2,0.6315995454788208,0.13783884048461914,2,LeNet,FMNIST,0.0984,0.1016
9.999999747378752e-05,9.999999747378752e-06,0.7909044068375988,1,0.945839651459331,0.000726589807088756,1,LeNet,FMNIST,0.1014,0.0986
0.06296480447053909,0.0070303319953382015,0.2869631052017212,1,0.8719226121902466,0.011929025873541832,1,LeNet,FMNIST,0.1016,0.0984
0.039419520646333694,0.008791951462626457,0.04500333219766617,2,0.7180590033531189,0.5349791646003723,2,LeNet,FMNIST,0.1036,0.0964
0.013213515281677246,0.009726233780384064,0.3013608455657959,2,0.4723054766654968,0.0831630676984787,2,LeNet,FMNIST,0.0946,0.1054
9.999999747378752e-05,9.999999747378752e-06,0.5397134279008924,1,0.5934924777584828,0.11412098679371677,1,LeNet,FMNIST,0.0952,0.1048
0.03048132359981537,0.003032250329852104,0.6529626250267029,1,0.8438236117362976,0.20581446588039398,1,LeNet,FMNIST,0.0958,0.1042
0.06052105128765106,0.00938370544463396,0.5690292716026306,2,0.10368821769952774,0.5408650040626526,2,LeNet,FMNIST,0.0888,0.0846
0.025118157267570496,0.005693043116480112,0.3572447896003723,2,0.34179502725601196,0.8182665705680847,2,LeNet,FMNIST,0.1016,0.0984
0.04510029777884483,0.009618477895855904,0.16144047677516937,1,0.11100045591592789,0.2929421663284302,1,LeNet,FMNIST,0.2426,0.2444
0.027996666729450226,0.009969986975193024,0.046795543283224106,1,0.9728487133979797,0.026429250836372375,1,LeNet,FMNIST,0.101,0.099
0.0683913379907608,0.008068863302469254,0.9164203405380249,2,0.6438978910446167,0.027743272483348846,2,LeNet,FMNIST,0.1018,0.0982
0.06866907328367233,0.006763914600014687,0.8080583810806274,2,0.292391300201416,0.14083236455917358,2,LeNet,FMNIST,0.1798,0.1706
9.999999747378752e-05,9.999999747378752e-06,0.09001404542744072,1,0.00036455642492285237,0.03040924403084752,1,LeNet,FMNIST,0.417,0.4032
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,1,LeNet,FMNIST,0.5016,0.5008
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,2,LeNet,FMNIST,0.6944,0.7052
9.999999747378752e-05,9.999999747378752e-06,0.10138147691232338,2,0.0013962264760185444,0.04049144328773416,2,LeNet,FMNIST,0.6698,0.6718
9.999999747378752e-05,9.999999747378752e-06,0.2805357850709434,2,4.5000477187604165e-05,0.3278767237942847,2,LeNet,FMNIST,0.4238,0.4242
9.999999747378752e-05,9.999999747378752e-06,0.6705248465110702,2,0.0011645614699869154,0.49380332990174547,2,LeNet,FMNIST,0.365,0.3734
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,3,LeNet,FMNIST,0.7456,0.7436
9.999999747378752e-05,9.999999747378752e-06,0.6860889619748118,3,0.030694932623568864,0.20348904386157093,3,LeNet,FMNIST,0.4384,0.4368
9.999999747378752e-05,9.999999747378752e-06,0.10138147691232338,2,0.0013962264760185444,0.04049144328773416,3,LeNet,FMNIST,0.7236,0.7298
9.999999747378752e-05,9.999999747378752e-06,0.4363947596204647,3,0.004169964323233051,0.3248722163258659,3,LeNet,FMNIST,0.6152,0.6198
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,4,LeNet,FMNIST,0.764,0.7658
9.999999747378752e-05,9.999999747378752e-06,0.09705375870155736,4,0.006239862135868902,0.00919677855703728,4,LeNet,FMNIST,0.7428,0.7498
9.999999747378752e-05,9.999999747378752e-06,0.10138147691232338,2,0.0013962264760185444,0.04049144328773416,4,LeNet,FMNIST,0.734,0.7426
9.999999747378752e-05,9.999999747378752e-06,0.04974113410123002,4,0.003678037339594528,0.0052204631717450226,4,LeNet,FMNIST,0.7308,0.7402
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,5,LeNet,FMNIST,0.773,0.7828
9.999999747378752e-05,9.999999747378752e-06,0.11532207107796025,4,0.0042579425911320945,0.0316457763388577,5,LeNet,FMNIST,0.7404,0.7466
9.999999747378752e-05,9.999999747378752e-06,0.4004123107702814,4,0.001828821159953864,0.30080162854798254,4,LeNet,FMNIST,0.669,0.6702
9.999999747378752e-05,9.999999747378752e-06,0.282871761518043,4,0.0012486424953372997,0.026453052912585026,4,LeNet,FMNIST,0.7452,0.7536
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,6,LeNet,FMNIST,0.7868,0.7818
9.999999747378752e-05,9.999999747378752e-06,0.05494728454419979,6,0.007747204782260295,0.021278837910877497,6,LeNet,FMNIST,0.7284,0.7364
9.999999747378752e-05,9.999999747378752e-06,0.6138196538058774,5,0.007990853426166218,0.026212249501024062,5,LeNet,FMNIST,0.6908,0.6986
9.999999747378752e-05,9.999999747378752e-06,0.16691536084676428,5,0.003008988917708322,0.004822145725065372,5,LeNet,FMNIST,0.7782,0.7826
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,7,LeNet,FMNIST,0.7958,0.7982
9.999999747378752e-05,9.999999747378752e-06,0.014690842389723409,6,0.004901531340362398,0.005857186154291323,7,LeNet,FMNIST,0.8,0.8036
9.999999747378752e-05,9.999999747378752e-06,0.16691536084676428,5,0.003008988917708322,0.004822145725065372,6,LeNet,FMNIST,0.7822,0.7872
9.999999747378752e-05,9.999999747378752e-06,0.009091944482836484,6,0.004081852971263667,0.0027185357846485347,6,LeNet,FMNIST,0.7838,0.7862
9.999999747378752e-05,9.999999747378752e-06,0.014690842389723409,6,0.004901531340362398,0.005857186154291323,8,LeNet,FMNIST,0.7996,0.8062
9.999999747378752e-05,9.999999747378752e-06,0.12678725869242968,8,0.005026402247571604,0.020525433244618183,8,LeNet,FMNIST,0.7792,0.7868
9.999999747378752e-05,9.999999747378752e-06,0.159106681392769,1,0.0029006387953797253,0.004207131718700668,8,LeNet,FMNIST,0.7962,0.7984
9.999999747378752e-05,9.999999747378752e-06,0.022634258959430914,8,0.0023999591959041823,9.705450088166e-07,8,LeNet,FMNIST,0.812,0.8202
9.999999747378752e-05,9.999999747378752e-06,0.022634258959430914,8,0.0023999591959041823,9.705450088166e-07,9,LeNet,FMNIST,0.818,0.8214
9.999999747378752e-05,9.999999747378752e-06,0.011467333163280687,9,0.0020838939273851668,0.0015861494584246787,9,LeNet,FMNIST,0.8168,0.8222
9.999999747378752e-05,9.999999747378752e-06,0.06097983525102705,8,0.0035850034090650395,0.006966989804415007,8,LeNet,FMNIST,0.7928,0.7982
9.999999747378752e-05,9.999999747378752e-06,0.05312044247510911,8,0.0048579751633555796,0.047658985814764555,8,LeNet,FMNIST,0.7326,0.7474
9.999999747378752e-05,9.999999747378752e-06,0.022634258959430914,8,0.0023999591959041823,9.705450088166e-07,10,LeNet,FMNIST,0.8204,0.8262
9.999999747378752e-05,9.999999747378752e-06,0.025913691846229048,10,0.011044083231760461,0.0003481375344352563,10,LeNet,FMNIST,0.7794,0.7744
9.999999747378752e-05,9.999999747378752e-06,0.011467333163280687,9,0.0020838939273851668,0.0015861494584246787,10,LeNet,FMNIST,0.823,0.8282
9.999999747378752e-05,9.999999747378752e-06,0.03485450957583656,10,0.0007191494919316292,0.0007495018923282617,10,LeNet,FMNIST,0.8232,0.8292
9.999999747378752e-05,9.999999747378752e-06,0.03485450957583656,10,0.0007191494919316292,0.0007495018923282617,11,LeNet,FMNIST,0.8222,0.8282
9.999999747378752e-05,9.999999747378752e-06,0.009495839878334942,11,0.0023706918062401626,0.00044770016003104277,11,LeNet,FMNIST,0.8214,0.8308
9.999999747378752e-05,9.999999747378752e-06,0.011467333163280687,9,0.0020838939273851668,0.0015861494584246787,11,LeNet,FMNIST,0.8254,0.8268
9.999999747378752e-05,9.999999747378752e-06,0.0013753396792705874,11,0.0002306205211595816,0.00016582908529850842,11,LeNet,FMNIST,0.8234,0.8326
9.999999747378752e-05,9.999999747378752e-06,0.011467333163280687,9,0.0020838939273851668,0.0015861494584246787,12,LeNet,FMNIST,0.825,0.8368
9.999999747378752e-05,9.999999747378752e-06,0.13247971436750297,12,0.0020409901363106077,0.016190946599386524,12,LeNet,FMNIST,0.8166,0.8172
9.999999747378752e-05,9.999999747378752e-06,0.0013753396792705874,11,0.0002306205211595816,0.00016582908529850842,12,LeNet,FMNIST,0.8254,0.8316
9.999999747378752e-05,9.999999747378752e-06,0.0018666459791451626,12,0.002173597588292518,0.001218613469248517,12,LeNet,FMNIST,0.822,0.8292
9.999999747378752e-05,9.999999747378752e-06,0.0013753396792705874,11,0.0002306205211595816,0.00016582908529850842,13,LeNet,FMNIST,0.8284,0.8316
9.999999747378752e-05,9.999999747378752e-06,0.005620545560805916,13,0.0034557484878724133,1.0629883170363511e-05,13,LeNet,FMNIST,0.8178,0.8244
9.999999747378752e-05,9.999999747378752e-06,0.0010652445006426258,12,0.00013972579906826462,0.0006849488035157185,12,LeNet,FMNIST,0.8262,0.834
9.999999747378752e-05,9.999999747378752e-06,0.004440282413404729,12,0.0011374853514070178,1.3227823361308265e-05,12,LeNet,FMNIST,0.827,0.83
