b1,b2,droupout_prob,iteration,lr,weight_decay,net,dataset,loss,test
9.999999747378752e-05,9.999999747378752e-06,0.0,0,9.999999747378752e-06,0.0,LeNet,FMNIST,0.1276,0.1234
0.050050001591444016,0.0050050001591444016,0.5,1,0.5000050067901611,0.5,LeNet,FMNIST,0.1484,0.143
0.07502499967813492,0.0025075001176446676,0.25,2,0.7500025033950806,0.75,LeNet,FMNIST,0.171,0.1674
0.025074999779462814,0.007502500433474779,0.75,3,0.2500075101852417,0.25,LeNet,FMNIST,0.2138,0.2108
0.037562500685453415,0.0037562502548098564,0.625,4,0.3750062584877014,0.125,LeNet,FMNIST,0.2534,0.257
0.08751250058412552,0.008751249872148037,0.125,5,0.8750012516975403,0.625,LeNet,FMNIST,0.2838,0.287
0.06253749877214432,0.0012587499804794788,0.875,6,0.6250037550926208,0.875,LeNet,FMNIST,0.313,0.3156
0.012587499804794788,0.006253750063478947,0.375,7,0.1250087469816208,0.375,LeNet,FMNIST,0.349,0.3464
0.018831249326467514,0.00313187506981194,0.9375,8,0.5625044107437134,0.3125,LeNet,FMNIST,0.381,0.374
0.02624575140492749,0.0030436638629303125,0.9389525214358219,9,0.5553231799203481,0.7275421402024973,LeNet,FMNIST,0.4068,0.3988
0.051005522049301956,0.0035265440894451726,0.9390796834530144,10,0.4725682012409907,0.6102887075496493,LeNet,FMNIST,0.4354,0.4286
0.06273778964851223,0.0014381848494242973,0.9383634625266671,11,0.05560286992575001,0.8528067790772481,LeNet,FMNIST,0.4562,0.4506
0.09831516801914049,0.006377597921296328,0.9762876052674977,12,0.7363135056384076,0.41057114392246286,LeNet,FMNIST,0.4704,0.472
0.02023539289082859,0.0028204805046636874,0.9973640473094462,13,0.02544914623171396,0.024301163308165712,LeNet,FMNIST,0.4872,0.49
0.08716483781121227,0.009991838151102642,0.9998182410381535,14,0.0028152736389672507,0.9833528830366808,LeNet,FMNIST,0.5002,0.4996
0.0985884866852212,0.0026313139098512123,0.0616837228323095,15,0.03216665545904071,0.9969574419303829,LeNet,FMNIST,0.506,0.511
0.08822864137445227,0.0024080486340244487,0.049193214525716525,16,0.00952404290153048,0.8886391365829728,LeNet,FMNIST,0.5112,0.5156
0.061521255423981284,0.0017858860454364944,0.054060285077447284,17,0.07171582352355348,0.966697354871437,LeNet,FMNIST,0.5176,0.5166
0.00015009128443620634,0.0001056860566139798,0.0411570754083196,18,0.08714920093526893,0.9269825194304228,LeNet,FMNIST,0.5204,0.5184
0.09425361267566754,0.0031654087172056735,0.02095740138443603,19,0.8913388571294717,0.5401792167628798,LeNet,FMNIST,0.5212,0.5194
0.003163049118102637,0.006084285524087741,0.010452949314797956,20,0.04059061696094693,0.9689333581819829,LeNet,FMNIST,0.5216,0.521
0.0034244231618426116,0.009277640617138832,0.020906475586677076,21,0.005435817456908921,0.7944952039906872,LeNet,FMNIST,0.5214,0.521
0.00013653812217993182,0.0024841145208196417,0.013058996491536475,22,0.99888756141021,0.6645513378424903,LeNet,FMNIST,0.522,0.5242
0.0013198447371044744,0.007043766061541374,0.8507672235804482,23,0.5587049263201933,1.5776637153837008e-06,LeNet,FMNIST,0.5242,0.5268
0.010183384989503712,0.009776129775832849,0.8779202087387826,24,0.571243636372131,3.000665155303325e-07,LeNet,FMNIST,0.5264,0.532
